"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6653","Login com sucesso","","Wed Sep 17 18:39:47 UTC 2025","passed","Wed Sep 17 18:39:54 UTC 2025","","Login no Sistema","",""
"","9370","Modal editar todos [VALOR]","","Wed Sep 17 18:43:34 UTC 2025","passed","Wed Sep 17 18:43:44 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","6258","Usuário tenta recuperar senha com e-mail inexistente","","Wed Sep 17 18:40:12 UTC 2025","passed","Wed Sep 17 18:40:18 UTC 2025","","Recuperação de senha e novo acesso","",""
"","26072","Gerar pedido dealer --> [VIA CONFIRMAR PEDIDO] => (VT-TRANSFÁCIL - BOLETO + MOTIVA CASH)","","Wed Sep 17 18:41:31 UTC 2025","passed","Wed Sep 17 18:41:57 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","9745","Usuário redefine a senha com sucesso","","Wed Sep 17 18:40:02 UTC 2025","passed","Wed Sep 17 18:40:12 UTC 2025","","Recuperação de senha e novo acesso","",""
"","1884","Login sem sucesso com e-mail inválido","","Wed Sep 17 18:39:54 UTC 2025","passed","Wed Sep 17 18:39:56 UTC 2025","","Login no Sistema","",""
"","26211","Gerar pedido dealer --> [VIA ADICIONAR CARRINHO] => (VT-TRANSFÁCIL - BOLETO)","","Wed Sep 17 18:42:19 UTC 2025","passed","Wed Sep 17 18:42:45 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","11411","Gerar pedido dealer --> [VIA CONFIRMAR PEDIDO] => (VT-TRANSFÁCIL - MOTIVA CASH)","","Wed Sep 17 18:41:20 UTC 2025","passed","Wed Sep 17 18:41:31 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","21669","Gerar pedido dealer --> [VIA CONFIRMAR PEDIDO] => (VT-TRANSFÁCIL - PIX + MOTIVA CASH)","","Wed Sep 17 18:41:57 UTC 2025","passed","Wed Sep 17 18:42:19 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","29279","Gerar pedido dealer --> [VIA CONFIRMAR PEDIDO] => (VT-TRANSFÁCIL - BOLETO)","","Wed Sep 17 18:40:29 UTC 2025","passed","Wed Sep 17 18:40:58 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","25773","Gerar pedido dealer --> [VIA ADICIONAR CARRINHO] => (VT-TRANSFÁCIL - BOLETO + MOTIVA CASH)","","Wed Sep 17 18:42:58 UTC 2025","passed","Wed Sep 17 18:43:24 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","21085","Gerar pedido dealer --> [VIA CONFIRMAR PEDIDO] => (VT-TRANSFÁCIL - PIX)","","Wed Sep 17 18:40:58 UTC 2025","passed","Wed Sep 17 18:41:19 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","1364","Acessar tela de novo cadastro","","Wed Sep 17 18:40:23 UTC 2025","passed","Wed Sep 17 18:40:24 UTC 2025","","Novo cadastro","",""
"","9888","Modal editar todos [QTD-DIAS]","","Wed Sep 17 18:43:24 UTC 2025","passed","Wed Sep 17 18:43:34 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
"","1889","Login sem sucesso com senha inválida","","Wed Sep 17 18:39:56 UTC 2025","passed","Wed Sep 17 18:39:58 UTC 2025","","Login no Sistema","",""
"","12274","Gerar pedido dealer --> [VIA ADICIONAR CARRINHO] => (VT-TRANSFÁCIL - MOTIVA CASH)","","Wed Sep 17 18:42:46 UTC 2025","passed","Wed Sep 17 18:42:58 UTC 2025","","Realizar pedido de recarga via ""Dealer""","",""
